Year,Month,Births,cpi index,UnemploymentRate,Maternities,Live Births,BMI (Obesity %),Diabetes %,Induction %,Method of Birth,Preterm%,FulltTerm%,Neonatal mortality %,SGA%,AGA%,LGA%,Unnamed: 1,total,female%
1954,Jan,"7,716",,,,,,,,,,,,,,,,,
1955,Jan,"7,849",,,,,,,,,,,,,,,,,
1956,Jan,"8,223",,,,,,,,,,,,,,,,,
1957,Jan,"8,476",,,,,,,,,,,,,,,,,
1958,Jan,"8,642",,,,,,,,,,,,,,,,,
1959,Jan,"8,932",,,,,,,,,,,,,,,,,
1960,Jan,"8,105",,,,,,,,,,,,,,,,,
1961,Jan,"8,567",,,,,,,,,,,,,,,,,
1962,Jan,"9,065",,,,,,,,,,,,,,,,,
1963,Jan,"8,850",,,,,,,,,,,,,,,,,
1964,Jan,"8,854",,,,,,,,,,,,,,,,,
1965,Jan,"8,580",,,,,,,,,,,,,,,,,
1966,Jan,"8,006",,,,,,,,,,,,,,,,,
1967,Jan,"8,694",,,,,,,,,,,,,,,,,
1968,Jan,"8,570",,,,,,,,,,,,,,,,,
1969,Jan,"8,317",,,,,,,,,,,,,,,,,
1970,Jan,"7,347",,,,,,,,,,,,,,,,,
1971,Jan,"7,226",,4.1,,,,,,,,,,,,,,,
1972,Jan,"6,824",,4.3,,,,,,,,,,,,,,,
1973,Jan,"6,779",,3.7,,,,,,,,,,,,,,,
1974,Jan,"6,305",,3.7,,,,,,,,,,,,,,,
1975,Jan,"6,101",,4.5,,,,,,,,,,,,,,,
1976,Jan,"5,669",,5.4,,,,,,,,,,,,,,,
1977,Jan,"5,117",,5.6,,,,,,,,,,,,,,,
1978,Jan,"5,262",,5.5,,,,,,,,,,,,,,,
1979,Jan,"5,897",,5.4,,,,,,,,,,,,,,,
1980,Jan,"5,724",,6.8,,,,,,,,,,,,,,,
1981,Jan,"6,052",,9.6,,,,,,,,,,,,,,,
1982,Jan,"5,472",,10.7,,,,,,,,,,,,,,,
1983,Jan,"5,499",,11.5,,,,,,,,,,,,,,,
1984,Jan,"5,383",,11.8,,,,,,,,,,,,,,,
1985,Jan,"5,683",,11.4,,,,,,,,,,,,,,,
1986,Jan,"5,578",,11.3,,,,,,,,,,,,,,,
1987,Jan,"5,540",,10.4,,,,,,,,,,,,,,,
1988,Jan,"5,476",,8.6,,,,,,,,,,,,,,,
1989,Jan,"5,525",,7.2,,,,,,,,,,,,,,,
1990,Jan,"5,725",,7.1,,,,,,,,,,,,,,,
1991,Jan,"5,943",,8.9,,,,,,,,,,,,,,,
1992,Jan,"5,886",,9.9,,,,,,,,,,,,,,,
1993,Jan,"5,333",,10.4,,,,,,,,,,,,,,,
1994,Jan,"5,338",,9.5,,,,,,,,,,,,,,,
1995,Jan,"5,313",,8.6,,,,,,,,,,,,,,,
1996,Jan,"5,371",,8.1,,,,,,,,,,,,,,,
1997,Jan,"5,346",,6.9,,,,,,,,,,,,,,,
1998,Jan,"4,924",70.254,6.2,,,,,,,,,,,,,,1845757.0,0.539
1999,Jan,"4,635",71.367,6.0,,,,,,,,,,,,,,1856330.0,0.546
2000,Jan,"4,696",71.936,5.4,,,,,,,,,,,,,,1990625.0,0.558
2001,Jan,"4,929",72.553,5.1,,,,,,,,,,,,,,2086075.0,0.562
2002,Jan,"4,561",73.736,5.2,,,,,,,,,,,,,,2175115.0,0.566
2003,Jan,"4,664",74.721,5.0,,,,,,,,,,,,,,2247440.0,0.569
2004,Jan,"4,617",75.786,4.8,,,,,,,,,,,,,,2287540.0,0.571
2005,Jan,"4,688",77.015,4.8,,,,,,,,,,,,,,2423590.0,57.3
2006,Jan,"4,839",78.514,5.4,,,,,,,,,,,,,,2478425.0,57.2
2007,Jan,"5,196",80.645,5.3,,,,,,,,,,,,,,2399795.0,56.9
2008,Jan,"5,490",82.407,5.7,,,,,,,,,,,,,,2465185.0,56.6
2009,Jan,"5,224",84.878,7.6,,,,,,,,,,,,,,25510341.0,56.7
2010,Jan,"5,151",87.828,7.9,57041.0,57696.0,20.7364501448076,1.09533175740296,23.841764929631,26.5,7.1,92.9,10.7842799572899,7.53619665983819,80.1968681642998,12.2669351758619,,2560000.0,0.564
2011,Jan,"5,346",91.312,8.1,57371.0,57952.0,21.1977090121632,1.40390310036034,24.523047193225,27.7,7.2,92.8,10.0769550748752,7.4105445116681,79.8254105445116,12.7640449438202,,2500000.0,56.4
2012,Jan,"5,283",94.577,7.9,55820.0,56406.0,21.0856690023356,2.14327657075748,26.2228818027376,27.3,7.2,92.8,12.0133903920485,7.09116449439001,80.0778818969042,12.8309536087057,,2340275.0,0.562
2013,Jan,"5,296",97.144,7.6,54709.0,55274.0,21.5330680310782,2.60000749821917,28.5579736283114,29.3,7.4,92.6,11.8285288799063,6.90043604651162,80.4142441860465,12.6853197674418,,2299355.0,56.42
2014,Jan,"5,242",98.979,6.2,54725.0,55365.0,21.6471378461079,2.88055810813345,30.5282258064516,30.2,7.7,92.3,11.157144407859,6.53032260412307,80.5072872504958,12.9623901453811,,2280830.0,56.5
2015,Jan,"4,791",99.258,5.4,53981.0,54572.0,22.7280483874025,3.02900547343336,32.4298931802863,31.2,8.2,91.8,11.144224690689,5.94506852599929,80.6411746260122,13.4137568479884,,2315840.0,56.9
2016,Jan,"4,649",99.549,4.9,53045.0,53644.0,23.7139561707035,3.34110334110334,33.5913474613501,31.7,8.3,91.7,12.3231693908964,5.85373213140723,80.8037566476822,13.3425112209104,,2378020.0,57.1
2017,Jan,"4,735",101.356,4.4,51415.0,51937.0,24.2762897754469,3.94683523786368,35.0991239210452,32.6,8.3,91.7,11.9845649094027,5.68700058468134,80.6548431105047,13.6581563048138,,2343095.0,56.7
2018,Jan,"4,831",104.386,4.1,49977.0,50559.0,24.8405695815497,5.3534707307042,33.9263613861386,33.5,8.6,91.4,11.6159963032135,5.17785228242109,81.0740571745987,13.7480905429801,,2383970.0,56.43
2019,Jan,"4,833",106.315,3.8,48088.0,48648.0,25.0352026105808,5.46910311874475,34.3183636155867,34.4,8.4,91.6,11.315492790601,5.25621741907568,80.870747738652,13.8730348422722,,2552000.0,56.5
2020,Jan,"4,515",108.196,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
